job_title,location,city_tier,experience_level,experience_years_mid,company_size,remote,skills_required,salary_lpa,posted_date
Backend Developer,Indore,Tier-2,Senior (6-10 yrs),8.0,Startup,False,"SQL, AWS, Docker, Python",20.2,2023-09-02
Business Analyst,Coimbatore,Tier-2,Junior (1-3 yrs),2.0,Enterprise,True,"Communication, Excel, SQL",9.8,2023-09-02
Product Manager,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Statistics, Agile, Excel, Communication",21.2,2023-09-02
DevOps Engineer,Indore,Tier-2,Mid (3-6 yrs),4.5,Enterprise,False,"AWS, Kubernetes, Docker, Linux",24.0,2023-09-02
Backend Developer,Kanpur,Tier-3,Mid (3-6 yrs),4.5,Mid-size,True,"Node.js, AWS, Docker",12.0,2023-09-02
Software Engineer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Python, System Design, Java, Git",29.7,2023-09-02
Product Manager,Chandigarh,Tier-2,Mid (3-6 yrs),4.5,Enterprise,False,"Statistics, SQL, Excel, Agile",22.1,2023-09-02
Data Engineer,Nagpur,Tier-3,Senior (6-10 yrs),8.0,Mid-size,False,"AWS, Airflow, SQL",20.9,2023-09-02
Data Analyst,Pune,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"Power BI, SQL, Statistics, Tableau",14.0,2023-09-02
Backend Developer,Delhi-NCR,Tier-1,Senior (6-10 yrs),8.0,Startup,False,"SQL, Python, Node.js, Docker, AWS",23.5,2023-09-02
Data Scientist,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Python, SQL, Statistics, Machine Learning, NLP",23.5,2023-09-02
DevOps Engineer,Delhi-NCR,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"Kubernetes, AWS, CI/CD, Docker",18.1,2023-09-02
Data Engineer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"AWS, Airflow, Python, Spark",21.8,2023-09-02
Cloud Engineer,Bhopal,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"Linux, AWS, Docker",11.7,2023-09-02
Business Analyst,Chandigarh,Tier-2,Lead (10+ yrs),13.0,Mid-size,True,"Power BI, Statistics, SQL, Excel",23.5,2023-09-02
Business Analyst,Bangalore,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Statistics, Excel, Communication, Power BI",29.4,2023-09-02
Data Analyst,Jaipur,Tier-2,Senior (6-10 yrs),8.0,Mid-size,False,"Tableau, SQL, Python, Excel, Power BI",16.2,2023-09-03
Backend Developer,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"SQL, AWS, Node.js",24.9,2023-09-03
Cloud Engineer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Docker, AWS, Linux, Azure, Kubernetes",19.1,2023-09-03
Backend Developer,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,True,"AWS, Docker, Python, Node.js, SQL",14.8,2023-09-03
Business Analyst,Mumbai,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Power BI, Excel, Statistics, SQL, Communication",26.0,2023-09-03
Data Engineer,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"AWS, SQL, Airflow, Python",23.5,2023-09-03
ML Engineer,Lucknow,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,False,"MLOps, AWS, Machine Learning, Deep Learning",23.4,2023-09-03
Data Analyst,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Power BI, SQL, Statistics",27.1,2023-09-03
Backend Developer,Delhi-NCR,Tier-1,Mid (3-6 yrs),4.5,Mid-size,True,"Node.js, Python, Docker",16.1,2023-09-03
Software Engineer,Nagpur,Tier-3,Fresher (0-1 yrs),0.5,Mid-size,True,"SQL, Python, Java, Git",8.1,2023-09-03
Business Analyst,Chandigarh,Tier-2,Junior (1-3 yrs),2.0,Startup,False,"Power BI, Statistics, SQL, Communication",8.5,2023-09-03
DevOps Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Kubernetes, Linux, CI/CD, Docker, AWS",20.7,2023-09-03
Cloud Engineer,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Enterprise,False,"Linux, Kubernetes, AWS, Azure, Docker",29.3,2023-09-03
Backend Developer,Pune,Tier-1,Junior (1-3 yrs),2.0,Startup,False,"Node.js, SQL, AWS",14.4,2023-09-03
Software Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"SQL, Git, Python, Java, System Design",15.6,2023-09-03
Frontend Developer,Jaipur,Tier-2,Mid (3-6 yrs),4.5,Startup,False,"React, HTML/CSS, TypeScript, JavaScript",11.8,2023-09-03
Product Manager,Guwahati,Tier-3,Senior (6-10 yrs),8.0,Mid-size,False,"SQL, Agile, Statistics",20.0,2023-09-03
QA Engineer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Manual Testing, SQL, Selenium, Python",26.7,2023-09-03
Backend Developer,Pune,Tier-1,Senior (6-10 yrs),8.0,Enterprise,False,"Node.js, AWS, Docker, Python",26.7,2023-09-03
Product Manager,Indore,Tier-2,Junior (1-3 yrs),2.0,Mid-size,False,"Agile, Excel, SQL",16.2,2023-09-03
Backend Developer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Mid-size,True,"AWS, Node.js, Python, Docker",30.1,2023-09-03
Backend Developer,Lucknow,Tier-2,Senior (6-10 yrs),8.0,Enterprise,False,"Docker, SQL, Node.js, Python, AWS",23.1,2023-09-03
DevOps Engineer,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,False,"Linux, Docker, CI/CD",16.1,2023-09-03
Data Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Startup,False,"SQL, Airflow, Python, Spark",18.1,2023-09-03
Data Analyst,Indore,Tier-2,Lead (10+ yrs),13.0,Enterprise,False,"SQL, Tableau, Statistics, Excel, Power BI",25.6,2023-09-03
Backend Developer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"SQL, Node.js, Docker",14.6,2023-09-03
Data Engineer,Guwahati,Tier-3,Mid (3-6 yrs),4.5,Enterprise,False,"AWS, Spark, Airflow, SQL, Python",19.4,2023-09-04
DevOps Engineer,Lucknow,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,True,"AWS, Docker, Linux",14.7,2023-09-04
Backend Developer,Ranchi,Tier-3,Lead (10+ yrs),13.0,Enterprise,False,"Docker, AWS, Node.js, Python",25.7,2023-09-04
ML Engineer,Lucknow,Tier-2,Junior (1-3 yrs),2.0,Mid-size,False,"Deep Learning, Docker, AWS, MLOps",21.9,2023-09-04
DevOps Engineer,Guwahati,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"CI/CD, AWS, Linux, Kubernetes, Docker",14.9,2023-09-04
DevOps Engineer,Nagpur,Tier-3,Senior (6-10 yrs),8.0,Enterprise,False,"Linux, AWS, Docker, CI/CD, Kubernetes",23.1,2023-09-04
Data Analyst,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Enterprise,True,"SQL, Power BI, Excel",14.1,2023-09-04
Cloud Engineer,Kanpur,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"Azure, AWS, Linux, Kubernetes",13.3,2023-09-04
ML Engineer,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,False,"Machine Learning, MLOps, Docker, Deep Learning",27.6,2023-09-04
Product Manager,Pune,Tier-1,Lead (10+ yrs),13.0,Startup,True,"Statistics, Excel, Communication, SQL",30.3,2023-09-04
Data Scientist,Bangalore,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Deep Learning, Machine Learning, SQL, Python, Statistics",35.8,2023-09-04
Backend Developer,Pune,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Node.js, Docker, AWS",19.6,2023-09-04
Cloud Engineer,Coimbatore,Tier-2,Junior (1-3 yrs),2.0,Startup,False,"Docker, Linux, Azure, AWS, Kubernetes",16.5,2023-09-04
Product Manager,Ranchi,Tier-3,Junior (1-3 yrs),2.0,Mid-size,False,"Communication, Agile, SQL",14.2,2023-09-04
DevOps Engineer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Startup,False,"AWS, Kubernetes, Linux",21.7,2023-09-04
Business Analyst,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"Communication, Statistics, Excel, SQL",21.4,2023-09-04
Data Analyst,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Startup,False,"SQL, Python, Tableau, Power BI",26.1,2023-09-04
Product Manager,Bangalore,Tier-1,Lead (10+ yrs),13.0,Startup,False,"SQL, Agile, Statistics, Communication",32.6,2023-09-04
Data Engineer,Hyderabad,Tier-1,Lead (10+ yrs),13.0,Enterprise,False,"Spark, AWS, Python, Airflow, SQL",44.0,2023-09-04
Business Analyst,Indore,Tier-2,Junior (1-3 yrs),2.0,Enterprise,False,"SQL, Statistics, Excel, Power BI, Communication",8.6,2023-09-04
Data Engineer,Nagpur,Tier-3,Fresher (0-1 yrs),0.5,Mid-size,False,"SQL, Python, Airflow, Spark, AWS",14.0,2023-09-04
Data Scientist,Bhopal,Tier-3,Fresher (0-1 yrs),0.5,Mid-size,False,"Deep Learning, Python, Machine Learning",13.7,2023-09-04
Software Engineer,Jaipur,Tier-2,Senior (6-10 yrs),8.0,Mid-size,True,"Python, Git, SQL, System Design, Java",18.6,2023-09-04
Backend Developer,Ranchi,Tier-3,Lead (10+ yrs),13.0,Mid-size,False,"Node.js, AWS, Docker",23.1,2023-09-04
Data Engineer,Mumbai,Tier-1,Lead (10+ yrs),13.0,Mid-size,True,"Spark, Airflow, Python",32.8,2023-09-04
ML Engineer,Hyderabad,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Deep Learning, Python, Machine Learning, Docker",39.7,2023-09-04
Cloud Engineer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Linux, Kubernetes, AWS",20.1,2023-09-04
QA Engineer,Coimbatore,Tier-2,Fresher (0-1 yrs),0.5,Enterprise,False,"Manual Testing, Python, Selenium, SQL",7.3,2023-09-04
Product Manager,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"Excel, SQL, Communication, Agile, Statistics",23.0,2023-09-04
Backend Developer,Jaipur,Tier-2,Fresher (0-1 yrs),0.5,Startup,False,"Docker, Python, SQL, Node.js, AWS",10.5,2023-09-04
Backend Developer,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Startup,False,"AWS, Node.js, SQL, Python, Docker",23.1,2023-09-04
Data Analyst,Ranchi,Tier-3,Mid (3-6 yrs),4.5,Enterprise,False,"Power BI, Tableau, Excel, Statistics, SQL",10.0,2023-09-04
Cloud Engineer,Chandigarh,Tier-2,Lead (10+ yrs),13.0,Startup,False,"Linux, Azure, AWS, Kubernetes",26.7,2023-09-04
Software Engineer,Guwahati,Tier-3,Fresher (0-1 yrs),0.5,Startup,True,"Git, System Design, Java, SQL, Python",8.5,2023-09-04
Frontend Developer,Chandigarh,Tier-2,Mid (3-6 yrs),4.5,Enterprise,False,"TypeScript, React, JavaScript",15.9,2023-09-05
Data Analyst,Lucknow,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,False,"Statistics, Tableau, SQL, Power BI, Python",4.8,2023-09-05
Data Analyst,Mumbai,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,True,"Excel, Tableau, Power BI, SQL",7.7,2023-09-05
Data Analyst,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Python, Excel, Power BI, Tableau",10.1,2023-09-05
Frontend Developer,Kanpur,Tier-3,Senior (6-10 yrs),8.0,Startup,False,"JavaScript, HTML/CSS, React, TypeScript",13.2,2023-09-05
Frontend Developer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"HTML/CSS, React, JavaScript, TypeScript",12.8,2023-09-05
Data Analyst,Lucknow,Tier-2,Mid (3-6 yrs),4.5,Mid-size,False,"Statistics, Excel, Tableau",9.7,2023-09-05
Cloud Engineer,Bangalore,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Linux, Azure, Kubernetes, AWS",36.8,2023-09-05
Data Analyst,Mumbai,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Statistics, Python, Power BI",13.5,2023-09-05
Data Engineer,Pune,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"SQL, Spark, AWS",24.4,2023-09-05
DevOps Engineer,Nagpur,Tier-3,Fresher (0-1 yrs),0.5,Mid-size,False,"Linux, Kubernetes, Docker, CI/CD",10.2,2023-09-05
DevOps Engineer,Coimbatore,Tier-2,Lead (10+ yrs),13.0,Enterprise,False,"AWS, CI/CD, Docker",32.3,2023-09-05
ML Engineer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Docker, AWS, Machine Learning, Deep Learning, Python",30.5,2023-09-05
ML Engineer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Python, MLOps, AWS, Deep Learning",26.7,2023-09-05
Cloud Engineer,Pune,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"Docker, Kubernetes, Azure, Linux, AWS",17.6,2023-09-05
Backend Developer,Kanpur,Tier-3,Senior (6-10 yrs),8.0,Enterprise,False,"AWS, Docker, SQL, Python",18.8,2023-09-05
ML Engineer,Bhopal,Tier-3,Lead (10+ yrs),13.0,Mid-size,False,"Deep Learning, AWS, Python, Docker, MLOps",31.3,2023-09-05
Product Manager,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"SQL, Excel, Agile, Communication, Statistics",18.8,2023-09-05
Backend Developer,Jaipur,Tier-2,Senior (6-10 yrs),8.0,Startup,False,"Python, Node.js, SQL, AWS",19.5,2023-09-05
DevOps Engineer,Coimbatore,Tier-2,Lead (10+ yrs),13.0,Mid-size,False,"CI/CD, Linux, Kubernetes",27.5,2023-09-05
Data Engineer,Pune,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Airflow, SQL, Python, Spark, AWS",35.1,2023-09-05
Data Analyst,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Enterprise,False,"SQL, Power BI, Python, Tableau, Excel",16.7,2023-09-05
Business Analyst,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"Excel, SQL, Power BI",14.6,2023-09-05
Frontend Developer,Nagpur,Tier-3,Mid (3-6 yrs),4.5,Enterprise,False,"JavaScript, TypeScript, HTML/CSS, React",11.8,2023-09-05
Business Analyst,Delhi-NCR,Tier-1,Mid (3-6 yrs),4.5,Enterprise,False,"Statistics, Communication, Excel, Power BI, SQL",18.1,2023-09-05
Business Analyst,Chandigarh,Tier-2,Lead (10+ yrs),13.0,Enterprise,False,"Statistics, SQL, Power BI, Excel, Communication",27.9,2023-09-05
Backend Developer,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"Python, SQL, Docker, Node.js, AWS",13.5,2023-09-05
ML Engineer,Delhi-NCR,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Python, Docker, AWS",23.2,2023-09-06
QA Engineer,Ranchi,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"Selenium, Python, SQL, Manual Testing",6.3,2023-09-06
Frontend Developer,Ranchi,Tier-3,Junior (1-3 yrs),2.0,Mid-size,True,"HTML/CSS, TypeScript, JavaScript, React",7.6,2023-09-06
DevOps Engineer,Delhi-NCR,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"Kubernetes, Linux, AWS",21.4,2023-09-06
Data Scientist,Delhi-NCR,Tier-1,Mid (3-6 yrs),4.5,Enterprise,True,"Python, SQL, NLP, Machine Learning",24.3,2023-09-06
QA Engineer,Coimbatore,Tier-2,Lead (10+ yrs),13.0,Mid-size,False,"Selenium, Manual Testing, SQL, Python",20.4,2023-09-06
DevOps Engineer,Pune,Tier-1,Senior (6-10 yrs),8.0,Enterprise,True,"CI/CD, AWS, Linux",30.3,2023-09-06
ML Engineer,Bhopal,Tier-3,Junior (1-3 yrs),2.0,Startup,True,"AWS, Python, Machine Learning, Docker, Deep Learning",16.7,2023-09-06
Data Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,True,"Spark, AWS, Airflow",21.4,2023-09-06
Frontend Developer,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"React, TypeScript, HTML/CSS, JavaScript",14.7,2023-09-06
Backend Developer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Enterprise,True,"Docker, Node.js, SQL",31.6,2023-09-06
Data Engineer,Kanpur,Tier-3,Fresher (0-1 yrs),0.5,Startup,False,"Python, Spark, AWS",11.1,2023-09-06
Data Scientist,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Statistics, NLP, SQL",17.2,2023-09-06
Software Engineer,Delhi-NCR,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Python, Java, System Design",15.0,2023-09-06
Backend Developer,Chandigarh,Tier-2,Senior (6-10 yrs),8.0,Mid-size,False,"SQL, Node.js, AWS",19.5,2023-09-06
Data Scientist,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Deep Learning, Statistics, SQL, Machine Learning, Python",37.4,2023-09-06
Frontend Developer,Lucknow,Tier-2,Senior (6-10 yrs),8.0,Mid-size,False,"TypeScript, React, HTML/CSS",17.2,2023-09-06
Cloud Engineer,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"Azure, Linux, AWS",26.2,2023-09-06
ML Engineer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Startup,False,"Machine Learning, AWS, Docker, Deep Learning",27.5,2023-09-06
Data Scientist,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Enterprise,False,"SQL, Machine Learning, Python, Deep Learning",30.5,2023-09-06
Business Analyst,Bangalore,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"Excel, Power BI, Statistics, SQL, Communication",8.7,2023-09-06
DevOps Engineer,Bangalore,Tier-1,Senior (6-10 yrs),8.0,Startup,False,"AWS, Docker, Linux, CI/CD",27.3,2023-09-06
QA Engineer,Lucknow,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,False,"Python, SQL, Manual Testing",7.4,2023-09-06
Backend Developer,Pune,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"Docker, AWS, Node.js",13.7,2023-09-06
Frontend Developer,Guwahati,Tier-3,Lead (10+ yrs),13.0,Startup,False,"HTML/CSS, JavaScript, TypeScript, React",21.8,2023-09-06
Data Engineer,Nagpur,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"Airflow, Python, AWS, SQL",13.3,2023-09-06
Software Engineer,Lucknow,Tier-2,Fresher (0-1 yrs),0.5,Startup,True,"SQL, Java, System Design, Python",8.2,2023-09-07
Frontend Developer,Nagpur,Tier-3,Mid (3-6 yrs),4.5,Startup,True,"TypeScript, HTML/CSS, JavaScript, React",9.4,2023-09-07
Backend Developer,Lucknow,Tier-2,Lead (10+ yrs),13.0,Startup,False,"Node.js, SQL, Python",23.3,2023-09-07
Data Scientist,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Startup,True,"Machine Learning, Python, NLP, Deep Learning, SQL",23.7,2023-09-07
Cloud Engineer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Azure, Linux, Kubernetes, AWS, Docker",23.4,2023-09-07
Data Analyst,Coimbatore,Tier-2,Mid (3-6 yrs),4.5,Mid-size,True,"Tableau, Statistics, Excel, SQL",11.1,2023-09-07
Data Engineer,Pune,Tier-1,Senior (6-10 yrs),8.0,Enterprise,False,"Airflow, Spark, AWS, SQL",35.2,2023-09-07
Business Analyst,Hyderabad,Tier-1,Senior (6-10 yrs),8.0,Startup,True,"Excel, Statistics, Power BI, Communication, SQL",18.9,2023-09-07
Data Engineer,Mumbai,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Airflow, Spark, AWS",36.7,2023-09-07
Data Scientist,Coimbatore,Tier-2,Senior (6-10 yrs),8.0,Mid-size,False,"Machine Learning, Statistics, NLP, Python",21.5,2023-09-07
Cloud Engineer,Coimbatore,Tier-2,Lead (10+ yrs),13.0,Startup,False,"AWS, Docker, Azure, Linux, Kubernetes",27.6,2023-09-07
Data Analyst,Kanpur,Tier-3,Mid (3-6 yrs),4.5,Mid-size,False,"Power BI, Tableau, Statistics",10.0,2023-09-07
Data Engineer,Lucknow,Tier-2,Lead (10+ yrs),13.0,Enterprise,False,"Airflow, SQL, AWS, Spark",34.6,2023-09-07
Software Engineer,Chandigarh,Tier-2,Fresher (0-1 yrs),0.5,Enterprise,True,"Java, System Design, SQL, Git",12.9,2023-09-07
Cloud Engineer,Coimbatore,Tier-2,Mid (3-6 yrs),4.5,Startup,False,"AWS, Linux, Kubernetes",19.6,2023-09-07
Cloud Engineer,Hyderabad,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"Docker, Linux, AWS, Azure",27.7,2023-09-07
Data Analyst,Nagpur,Tier-3,Mid (3-6 yrs),4.5,Enterprise,False,"Excel, Power BI, Python",11.1,2023-09-07
Data Analyst,Guwahati,Tier-3,Lead (10+ yrs),13.0,Enterprise,False,"Python, Power BI, Excel, Tableau",21.6,2023-09-07
Frontend Developer,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"JavaScript, TypeScript, React, HTML/CSS",19.9,2023-09-07
Business Analyst,Pune,Tier-1,Lead (10+ yrs),13.0,Startup,True,"Power BI, Excel, SQL",26.5,2023-09-07
QA Engineer,Kanpur,Tier-3,Mid (3-6 yrs),4.5,Mid-size,True,"SQL, Selenium, Manual Testing, Python",10.1,2023-09-07
QA Engineer,Kanpur,Tier-3,Junior (1-3 yrs),2.0,Startup,True,"Python, SQL, Selenium, Manual Testing",8.7,2023-09-07
Software Engineer,Lucknow,Tier-2,Mid (3-6 yrs),4.5,Mid-size,True,"Python, SQL, Git, Java, LLM Fine-tuning",15.1,2023-09-07
Business Analyst,Hyderabad,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Communication, Excel, Power BI",29.2,2023-09-07
Frontend Developer,Chandigarh,Tier-2,Fresher (0-1 yrs),0.5,Enterprise,False,"HTML/CSS, JavaScript, React, TypeScript",10.7,2023-09-07
Software Engineer,Indore,Tier-2,Mid (3-6 yrs),4.5,Startup,False,"Python, System Design, SQL, Git",13.8,2023-09-07
Software Engineer,Ranchi,Tier-3,Lead (10+ yrs),13.0,Startup,False,"Java, System Design, Python, Git, SQL",19.7,2023-09-07
Software Engineer,Chandigarh,Tier-2,Senior (6-10 yrs),8.0,Startup,False,"Git, SQL, Python, System Design, Java",18.8,2023-09-08
ML Engineer,Bangalore,Tier-1,Senior (6-10 yrs),8.0,Startup,False,"Python, Deep Learning, Machine Learning, AWS, Docker",33.6,2023-09-08
Data Scientist,Bhopal,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,True,"Statistics, Deep Learning, SQL, NLP",12.8,2023-09-08
Frontend Developer,Pune,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"HTML/CSS, TypeScript, React",8.1,2023-09-08
