job_title,location,city_tier,experience_level,experience_years_mid,company_size,remote,skills_required,salary_lpa,posted_date,cluster,pca_x,pca_y
Data Analyst,Pune,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"Power BI, SQL, Statistics, Tableau",14.0,2023-09-02,0,-0.8429824437475552,-0.5018031336650779
Backend Developer,Delhi-NCR,Tier-1,Senior (6-10 yrs),8.0,Startup,False,"SQL, Python, Node.js, Docker, AWS",23.5,2023-09-02,1,0.4261557708173348,0.8469188316863282
Data Scientist,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Python, SQL, Statistics, Machine Learning, NLP",23.5,2023-09-02,5,-0.7674839099404076,0.446456536837598
DevOps Engineer,Delhi-NCR,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"Kubernetes, AWS, CI/CD, Docker",18.1,2023-09-02,4,1.3734556715957746,-0.33608897651382663
Data Engineer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"AWS, Airflow, Python, Spark",21.8,2023-09-02,1,0.40142678973945833,0.7145784653565664
Cloud Engineer,Bhopal,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"Linux, AWS, Docker",11.7,2023-09-02,4,1.228851879260747,-0.2675462459713312
Business Analyst,Chandigarh,Tier-2,Lead (10+ yrs),13.0,Mid-size,True,"Power BI, Statistics, SQL, Excel",23.5,2023-09-02,0,-1.0410917086851463,-0.7850699323372254
Business Analyst,Bangalore,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Statistics, Excel, Communication, Power BI",29.4,2023-09-02,0,-0.8170478703956336,-1.3005843523918936
Data Analyst,Jaipur,Tier-2,Senior (6-10 yrs),8.0,Mid-size,False,"Tableau, SQL, Python, Excel, Power BI",16.2,2023-09-03,0,-0.9245222780973021,0.11275091198939596
Backend Developer,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"SQL, AWS, Node.js",24.9,2023-09-03,1,0.1540490211922185,0.2087172959026528
Cloud Engineer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Docker, AWS, Linux, Azure, Kubernetes",19.1,2023-09-03,4,1.661670717665056,-0.47408132251909957
Backend Developer,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,True,"AWS, Docker, Python, Node.js, SQL",14.8,2023-09-03,1,0.4261557708173348,0.8469188316863282
Business Analyst,Mumbai,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Power BI, Excel, Statistics, SQL, Communication",26.0,2023-09-03,0,-1.2293744540164138,-1.05148838218595
Data Engineer,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"AWS, SQL, Airflow, Python",23.5,2023-09-03,1,-0.012217401278659584,0.8573539799423623
ML Engineer,Lucknow,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,False,"MLOps, AWS, Machine Learning, Deep Learning",23.4,2023-09-03,7,0.6157437654990529,0.08722960543457314
Data Analyst,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Power BI, SQL, Statistics",27.1,2023-09-03,0,-0.7787090823347373,-0.47615503771306744
Backend Developer,Delhi-NCR,Tier-1,Mid (3-6 yrs),4.5,Mid-size,True,"Node.js, Python, Docker",16.1,2023-09-03,1,0.420258270688878,0.46839941637193927
Software Engineer,Nagpur,Tier-3,Fresher (0-1 yrs),0.5,Mid-size,True,"SQL, Python, Java, Git",8.1,2023-09-03,6,-0.5177098327881312,0.8295018216069602
Business Analyst,Chandigarh,Tier-2,Junior (1-3 yrs),2.0,Startup,False,"Power BI, Statistics, SQL, Communication",8.5,2023-09-03,0,-0.966991827666005,-0.742573487561792
DevOps Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Kubernetes, Linux, CI/CD, Docker, AWS",20.7,2023-09-03,4,1.6666460388166409,-0.47571213905078036
Cloud Engineer,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Enterprise,False,"Linux, Kubernetes, AWS, Azure, Docker",29.3,2023-09-03,4,1.661670717665056,-0.47408132251909957
Backend Developer,Pune,Tier-1,Junior (1-3 yrs),2.0,Startup,False,"Node.js, SQL, AWS",14.4,2023-09-03,1,0.1540490211922185,0.2087172959026528
Software Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"SQL, Git, Python, Java, System Design",15.6,2023-09-03,6,-0.5610194029198926,0.9349336102039619
Frontend Developer,Jaipur,Tier-2,Mid (3-6 yrs),4.5,Startup,False,"React, HTML/CSS, TypeScript, JavaScript",11.8,2023-09-03,2,0.20368822205144316,-0.7368220004017421
Product Manager,Guwahati,Tier-3,Senior (6-10 yrs),8.0,Mid-size,False,"SQL, Agile, Statistics",20.0,2023-09-03,0,-0.6992457963396397,-0.4264961163340635
QA Engineer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Manual Testing, SQL, Selenium, Python",26.7,2023-09-03,3,-0.5433531840911712,0.8844988948686637
Backend Developer,Pune,Tier-1,Senior (6-10 yrs),8.0,Enterprise,False,"Node.js, AWS, Docker, Python",26.7,2023-09-03,1,0.838482354438115,0.5978228614803845
Product Manager,Indore,Tier-2,Junior (1-3 yrs),2.0,Mid-size,False,"Agile, Excel, SQL",16.2,2023-09-03,0,-0.6483400791919152,-0.4447889933131399
Backend Developer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Mid-size,True,"AWS, Node.js, Python, Docker",30.1,2023-09-03,1,0.838482354438115,0.5978228614803845
Backend Developer,Lucknow,Tier-2,Senior (6-10 yrs),8.0,Enterprise,False,"Docker, SQL, Node.js, Python, AWS",23.1,2023-09-03,1,0.4261557708173348,0.8469188316863282
DevOps Engineer,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,False,"Linux, Docker, CI/CD",16.1,2023-09-03,4,0.9563982851524437,-0.46548667098523666
Data Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Startup,False,"SQL, Airflow, Python, Spark",18.1,2023-09-03,1,-0.4291238776305589,0.8342509904540648
Data Analyst,Indore,Tier-2,Lead (10+ yrs),13.0,Enterprise,False,"SQL, Tableau, Statistics, Excel, Power BI",25.6,2023-09-03,0,-1.1053650700979643,-0.810718028289236
Backend Developer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"SQL, Node.js, Docker",14.6,2023-09-03,1,0.14037723856556902,0.08464846394433251
Data Engineer,Guwahati,Tier-3,Mid (3-6 yrs),4.5,Enterprise,False,"AWS, Spark, Airflow, SQL, Python",19.4,2023-09-04,1,-0.010899793881321937,0.9636744355625101
DevOps Engineer,Lucknow,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,True,"AWS, Docker, Linux",14.7,2023-09-04,4,1.228851879260747,-0.2675462459713312
Backend Developer,Ranchi,Tier-3,Lead (10+ yrs),13.0,Enterprise,False,"Docker, AWS, Node.js, Python",25.7,2023-09-04,1,0.838482354438115,0.5978228614803845
ML Engineer,Lucknow,Tier-2,Junior (1-3 yrs),2.0,Mid-size,False,"Deep Learning, Docker, AWS, MLOps",21.9,2023-09-04,7,1.0041289816915837,0.006658177928863862
DevOps Engineer,Guwahati,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"CI/CD, AWS, Linux, Kubernetes, Docker",14.9,2023-09-04,4,1.6666460388166409,-0.47571213905078036
DevOps Engineer,Nagpur,Tier-3,Senior (6-10 yrs),8.0,Enterprise,False,"Linux, AWS, Docker, CI/CD, Kubernetes",23.1,2023-09-04,4,1.6666460388166409,-0.47571213905078036
Data Analyst,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Enterprise,True,"SQL, Power BI, Excel",14.1,2023-09-04,0,-0.727803365187013,-0.4944479146921439
Cloud Engineer,Kanpur,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"Azure, AWS, Linux, Kubernetes",13.3,2023-09-04,4,1.2571184165424685,-0.47943593566922443
ML Engineer,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,False,"Machine Learning, MLOps, Docker, Deep Learning",27.6,2023-09-04,7,0.6020719828724034,-0.036839226523747104
Product Manager,Pune,Tier-1,Lead (10+ yrs),13.0,Startup,True,"Statistics, Excel, Communication, SQL",30.3,2023-09-04,0,-1.0633951716325336,-0.8795605336049682
Data Scientist,Bangalore,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Deep Learning, Machine Learning, SQL, Python, Statistics",35.8,2023-09-04,5,-0.7143904672881287,0.49999205947407555
Backend Developer,Pune,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Node.js, Docker, AWS",19.6,2023-09-04,1,0.9709279059355863,-0.035024061153165864
Cloud Engineer,Coimbatore,Tier-2,Junior (1-3 yrs),2.0,Startup,False,"Docker, Linux, Azure, AWS, Kubernetes",16.5,2023-09-04,4,1.661670717665056,-0.47408132251909957
Product Manager,Ranchi,Tier-3,Junior (1-3 yrs),2.0,Mid-size,False,"Communication, Agile, SQL",14.2,2023-09-04,0,-0.574240198172774,-0.40229254853770646
DevOps Engineer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Startup,False,"AWS, Kubernetes, Linux",21.7,2023-09-04,4,1.1163232480531196,-0.412549772295445
Business Analyst,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"Communication, Statistics, Excel, SQL",21.4,2023-09-04,0,-1.0633951716325336,-0.8795605336049682
Data Analyst,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Startup,False,"SQL, Python, Tableau, Power BI",26.1,2023-09-04,5,-0.6621396517468933,0.421665806613554
Product Manager,Bangalore,Tier-1,Lead (10+ yrs),13.0,Startup,False,"SQL, Agile, Statistics, Communication",32.6,2023-09-04,0,-0.8875285416709073,-0.692914566182788
Data Engineer,Hyderabad,Tier-1,Lead (10+ yrs),13.0,Enterprise,False,"Spark, AWS, Python, Airflow, SQL",44.0,2023-09-04,1,-0.010899793881321937,0.9636744355625101
Business Analyst,Indore,Tier-2,Junior (1-3 yrs),2.0,Enterprise,False,"SQL, Statistics, Excel, Power BI, Communication",8.6,2023-09-04,0,-1.2293744540164138,-1.05148838218595
Data Engineer,Nagpur,Tier-3,Fresher (0-1 yrs),0.5,Mid-size,False,"SQL, Python, Airflow, Spark, AWS",14.0,2023-09-04,1,-0.010899793881321937,0.9636744355625101
Data Scientist,Bhopal,Tier-3,Fresher (0-1 yrs),0.5,Mid-size,False,"Deep Learning, Python, Machine Learning",13.7,2023-09-04,7,0.011224459830784822,0.5415181069132136
Software Engineer,Jaipur,Tier-2,Senior (6-10 yrs),8.0,Mid-size,True,"Python, Git, SQL, System Design, Java",18.6,2023-09-04,6,-0.5610194029198926,0.9349336102039619
Backend Developer,Ranchi,Tier-3,Lead (10+ yrs),13.0,Mid-size,False,"Node.js, AWS, Docker",23.1,2023-09-04,1,0.9709279059355863,-0.035024061153165864
Data Engineer,Mumbai,Tier-1,Lead (10+ yrs),13.0,Mid-size,True,"Spark, Airflow, Python",32.8,2023-09-04,1,-0.016797294009778696,0.5851550202481213
ML Engineer,Hyderabad,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Deep Learning, Python, Machine Learning, Docker",39.7,2023-09-04,7,0.41577676095337235,0.5468727200633384
Cloud Engineer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Linux, Kubernetes, AWS",20.1,2023-09-04,4,1.1163232480531196,-0.412549772295445
QA Engineer,Coimbatore,Tier-2,Fresher (0-1 yrs),0.5,Enterprise,False,"Manual Testing, Python, Selenium, SQL",7.3,2023-09-04,3,-0.5433531840911712,0.8844988948686637
Product Manager,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"Excel, SQL, Communication, Agile, Statistics",23.0,2023-09-04,0,-1.149911168021316,-1.0018294608069462
Backend Developer,Jaipur,Tier-2,Fresher (0-1 yrs),0.5,Startup,False,"Docker, Python, SQL, Node.js, AWS",10.5,2023-09-04,1,0.4261557708173348,0.8469188316863282
Backend Developer,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Startup,False,"AWS, Node.js, SQL, Python, Docker",23.1,2023-09-04,1,0.4261557708173348,0.8469188316863282
Data Analyst,Ranchi,Tier-3,Mid (3-6 yrs),4.5,Enterprise,False,"Power BI, Tableau, Excel, Statistics, SQL",10.0,2023-09-04,0,-1.1053650700979643,-0.810718028289236
Cloud Engineer,Chandigarh,Tier-2,Lead (10+ yrs),13.0,Startup,False,"Linux, Azure, AWS, Kubernetes",26.7,2023-09-04,4,1.2571184165424685,-0.47943593566922443
Software Engineer,Guwahati,Tier-3,Fresher (0-1 yrs),0.5,Startup,True,"Git, System Design, Java, SQL, Python",8.5,2023-09-04,6,-0.5610194029198926,0.9349336102039619
Frontend Developer,Chandigarh,Tier-2,Mid (3-6 yrs),4.5,Enterprise,False,"TypeScript, React, JavaScript",15.9,2023-09-05,2,0.18089268749825443,-0.6178157199204798
Data Analyst,Lucknow,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,False,"Statistics, Tableau, SQL, Power BI, Python",4.8,2023-09-05,5,-0.9754279952450267,0.13104378896847235
Data Analyst,Mumbai,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,True,"Excel, Tableau, Power BI, SQL",7.7,2023-09-05,0,-0.7920767265998309,-0.5200960106441543
Data Analyst,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Python, Excel, Power BI, Tableau",10.1,2023-09-05,0,-0.5121956944765218,-0.13634505821654758
Frontend Developer,Kanpur,Tier-3,Senior (6-10 yrs),8.0,Startup,False,"JavaScript, HTML/CSS, React, TypeScript",13.2,2023-09-05,2,0.20368822205144316,-0.7368220004017421
Frontend Developer,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"HTML/CSS, React, JavaScript, TypeScript",12.8,2023-09-05,2,0.20368822205144316,-0.7368220004017421
Data Analyst,Lucknow,Tier-2,Mid (3-6 yrs),4.5,Mid-size,False,"Statistics, Excel, Tableau",9.7,2023-09-05,0,-0.5270592040933036,-0.8878861499141978
Cloud Engineer,Bangalore,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Linux, Azure, Kubernetes, AWS",36.8,2023-09-05,4,1.2571184165424685,-0.47943593566922443
Data Analyst,Mumbai,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Statistics, Python, Power BI",13.5,2023-09-05,5,-0.4988280502114284,-0.09240408528546068
Data Engineer,Pune,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"SQL, Spark, AWS",24.4,2023-09-05,1,0.12010023469385069,0.22213872924158884
DevOps Engineer,Nagpur,Tier-3,Fresher (0-1 yrs),0.5,Mid-size,False,"Linux, Kubernetes, Docker, CI/CD",10.2,2023-09-05,4,1.2484219550674038,-0.6051355841592255
DevOps Engineer,Coimbatore,Tier-2,Lead (10+ yrs),13.0,Enterprise,False,"AWS, CI/CD, Docker",32.3,2023-09-05,4,1.0814320016808145,-0.19644006333983777
ML Engineer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Docker, AWS, Machine Learning, Deep Learning, Python",30.5,2023-09-05,7,0.8340008447026095,0.6762961651717836
ML Engineer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Python, MLOps, AWS, Deep Learning",26.7,2023-09-05,7,0.46713112907152476,0.6341504874122893
Cloud Engineer,Pune,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"Docker, Kubernetes, Azure, Linux, AWS",17.6,2023-09-05,4,1.661670717665056,-0.47408132251909957
Backend Developer,Kanpur,Tier-3,Senior (6-10 yrs),8.0,Enterprise,False,"AWS, Docker, SQL, Python",18.8,2023-09-05,1,0.3908893769216294,0.7540198094051164
ML Engineer,Bhopal,Tier-3,Lead (10+ yrs),13.0,Mid-size,False,"Deep Learning, AWS, Python, Docker, MLOps",31.3,2023-09-05,7,0.8716834301941123,0.6395051005624143
Product Manager,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"SQL, Excel, Agile, Communication, Statistics",18.8,2023-09-05,0,-1.149911168021316,-1.0018294608069462
Backend Developer,Jaipur,Tier-2,Senior (6-10 yrs),8.0,Startup,False,"Python, Node.js, SQL, AWS",19.5,2023-09-05,1,0.021603469694747274,0.8415642185362032
DevOps Engineer,Coimbatore,Tier-2,Lead (10+ yrs),13.0,Mid-size,False,"CI/CD, Linux, Kubernetes",27.5,2023-09-05,4,0.8438696539448162,-0.6104901973093504
Data Engineer,Pune,Tier-1,Lead (10+ yrs),13.0,Mid-size,False,"Airflow, SQL, Python, Spark, AWS",35.1,2023-09-05,1,-0.010899793881321937,0.9636744355625101
Data Analyst,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Enterprise,False,"SQL, Power BI, Python, Tableau, Excel",16.7,2023-09-05,0,-0.9245222780973021,0.11275091198939596
Business Analyst,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Mid-size,False,"Excel, SQL, Power BI",14.6,2023-09-05,0,-0.727803365187013,-0.4944479146921439
Frontend Developer,Nagpur,Tier-3,Mid (3-6 yrs),4.5,Enterprise,False,"JavaScript, TypeScript, HTML/CSS, React",11.8,2023-09-05,2,0.20368822205144316,-0.7368220004017421
Business Analyst,Delhi-NCR,Tier-1,Mid (3-6 yrs),4.5,Enterprise,False,"Statistics, Communication, Excel, Power BI, SQL",18.1,2023-09-05,0,-1.2293744540164138,-1.05148838218595
Business Analyst,Chandigarh,Tier-2,Lead (10+ yrs),13.0,Enterprise,False,"Statistics, SQL, Power BI, Excel, Communication",27.9,2023-09-05,0,-1.2293744540164138,-1.05148838218595
Backend Developer,Hyderabad,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"Python, SQL, Docker, Node.js, AWS",13.5,2023-09-05,1,0.4261557708173348,0.8469188316863282
ML Engineer,Delhi-NCR,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Python, Docker, AWS",23.2,2023-09-06,1,0.8032159605424096,0.5049238391991728
QA Engineer,Ranchi,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,False,"Selenium, Python, SQL, Manual Testing",6.3,2023-09-06,3,-0.5433531840911712,0.8844988948686637
Frontend Developer,Ranchi,Tier-3,Junior (1-3 yrs),2.0,Mid-size,True,"HTML/CSS, TypeScript, JavaScript, React",7.6,2023-09-06,2,0.20368822205144316,-0.7368220004017421
DevOps Engineer,Delhi-NCR,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"Kubernetes, Linux, AWS",21.4,2023-09-06,4,1.1163232480531196,-0.412549772295445
Data Scientist,Delhi-NCR,Tier-1,Mid (3-6 yrs),4.5,Enterprise,True,"Python, SQL, NLP, Machine Learning",24.3,2023-09-06,5,-0.45419556644227443,0.7370785544826797
QA Engineer,Coimbatore,Tier-2,Lead (10+ yrs),13.0,Mid-size,False,"Selenium, Manual Testing, SQL, Python",20.4,2023-09-06,3,-0.5433531840911712,0.8844988948686637
DevOps Engineer,Pune,Tier-1,Senior (6-10 yrs),8.0,Enterprise,True,"CI/CD, AWS, Linux",30.3,2023-09-06,4,0.9700700677790932,-0.34141783902691636
ML Engineer,Bhopal,Tier-3,Junior (1-3 yrs),2.0,Startup,True,"AWS, Python, Machine Learning, Docker, Deep Learning",16.7,2023-09-06,7,0.8340008447026095,0.6762961651717836
Data Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,True,"Spark, AWS, Airflow",21.4,2023-09-06,1,0.5338723412369295,0.08173154272301608
Frontend Developer,Bangalore,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"React, TypeScript, HTML/CSS, JavaScript",14.7,2023-09-06,2,0.20368822205144316,-0.7368220004017421
Backend Developer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Enterprise,True,"Docker, Node.js, SQL",31.6,2023-09-06,1,0.14037723856556902,0.08464846394433251
Data Engineer,Kanpur,Tier-3,Fresher (0-1 yrs),0.5,Startup,False,"Python, Spark, AWS",11.1,2023-09-06,1,0.39998126681715973,0.6058896816691957
Data Scientist,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Statistics, NLP, SQL",17.2,2023-09-06,5,-0.6512054433729932,-0.27231642645178655
Software Engineer,Delhi-NCR,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Python, Java, System Design",15.0,2023-09-06,6,-0.10571979608124668,0.580378368830051
